note_id,sentence,label,reason
1,"inline elements ignore width and height.",1,"Core rule for display."
1,"block elements start on a new line and take full width.",1,"Key definition."
1,"inline-block stays inline but allows width and height.",1,"Important comparison."
1,"I will practice tomorrow.",0,"Not content."
1,"hover changes style when the mouse is over an element.",1,"Key UI behavior."
1,"Nav links can be aligned using inline-block on li.",1,"Practical rule."
2,"label for must match the input id.",1,"Form correctness."
2,"placeholder is not a replacement for label.",1,"Important best practice."
2,"aria-describedby connects hint text to an input.",1,"Accessibility feature."
2,"I like this topic.",0,"Opinion only."
2,"required makes a field mandatory.",1,"Important attribute."
2,"span is often used to wrap small inline text.",1,"Basic concept."
3,"break exits a loop immediately.",1,"Control flow rule."
3,"continue skips the current iteration.",1,"Control flow rule."
3,"for loop has init, condition, and update parts.",1,"Definition."
3,"I wrote code late at night.",0,"Irrelevant."
3,"An infinite loop happens when the condition never becomes false.",1,"Key warning."
3,"while repeats while condition is true.",1,"Definition."
4,"Java arrays start indexing at 0.",1,"Fundamental rule."
4,"array[0] is the first element.",1,"Key detail."
4,"array.length returns size of the array.",1,"Basic property."
4,"Swapping uses a temporary variable.",1,"Core technique."
4,"I am hungry.",0,"Irrelevant."
4,"To reverse, swap i with length-1-i until halfway.",1,"Main algorithm."
5,"Classification predicts categories.",1,"Core ML definition."
5,"Regression predicts continuous values.",1,"Core ML definition."
5,"Unsupervised learning finds patterns like clustering.",1,"Important concept."
5,"Accuracy is percent correct predictions.",1,"Key metric."
5,"This is easy.",0,"Not useful."
5,"Confusion matrix evaluates classification.",1,"Important evaluation concept."
6,"SaaS provides software over the internet.",1,"Cloud model definition."
6,"PaaS provides platform tools for development.",1,"Cloud model definition."
6,"IaaS provides infrastructure like servers.",1,"Cloud model definition."
6,"Data security is a key risk in cloud computing.",1,"Important risk."
6,"Encryption helps protect stored or transmitted data.",1,"Important mitigation."
6,"Cloud is cool.",0,"Opinion only."
7,"viewBox defines the coordinate system in SVG.",1,"Key SVG concept."
7,"preserveAspectRatio controls scaling alignment.",1,"Key attribute."
7,"rect draws a rectangle.",1,"Basic element."
7,"circle draws a circle.",1,"Basic element."
7,"I like purple.",0,"Irrelevant."
7,"text-anchor='middle' centers text.",1,"Useful SVG detail."
8,"Use background-image:url(...) for images.",1,"Fixes common bug."
8,"background-size: cover fills the box.",1,"Key styling tip."
8,"If image not showing, check file path.",1,"Debugging rule."
8,"I renamed my folder.",0,"Not a concept."
8,"background-color cannot load images.",1,"Important correction."
8,"Use correct file extension like .jpg or .png.",1,"Practical debug."
9,"position: relative moves element from normal position.",1,"Definition."
9,"relative keeps the original space reserved.",1,"Key behavior."
9,"position: absolute removes element from normal flow.",1,"Key behavior."
9,"absolute positions relative to nearest positioned ancestor.",1,"Important rule."
9,"My laptop is slow.",0,"Irrelevant."
9,"If no ancestor, absolute uses the page.",1,"Important detail."
10,"MCQ should have one correct answer and distractors.",1,"Quiz design rule."
10,"Questions should be short and clear.",1,"Quality rule."
10,"Distractors should be plausible.",1,"Quality rule."
10,"I will sleep now.",0,"Irrelevant."
10,"Generate quizzes from important sentences only.",1,"Pipeline rule."
10,"Avoid ambiguous questions.",1,"Quality rule."