context,question,answer,distractors
"inline elements ignore width and height.","Which display type ignores width and height?","inline","block|inline-block|flex"
"block elements start on a new line and take full width.","Which display type takes full width and starts on a new line?","block","inline|inline-block|grid"
"inline-block stays inline but allows width and height.","Which display type stays inline but allows width and height?","inline-block","inline|block|table"
"hover changes style when the mouse is over an element.","When does :hover apply?","When the mouse is over the element","When the page loads|When clicking only|When scrolling"
"label for must match input id.","In HTML forms, label for should match which attribute?","input id","input name|input type|input value"
"aria-describedby connects hint text to an input.","What does aria-describedby do?","Links hint text to an input","Makes text bold|Hides an element|Changes input type"
"required makes a field mandatory.","Which attribute makes a form field mandatory?","required","readonly|disabled|checked"
"break exits a loop immediately.","Which statement exits a loop immediately?","break","continue|skip|exit"
"continue skips the current iteration.","Which statement skips the rest of the current loop iteration?","continue","break|return|stop"
"Java arrays start indexing at 0.","What is the first index of a Java array?","0","1|-1|10"
"array.length returns size of the array.","Which property gives the size of a Java array?","length","size|count|capacity"
"To reverse, swap i with length-1-i until halfway.","In array reverse, what is the index paired with i?","length-1-i","length+i|i-1|i+1"
"Classification predicts categories.","Classification problems predict:","categories","continuous values|random values|distances"
"Regression predicts continuous values.","Regression problems predict:","continuous values","categories|labels only|strings"
"Confusion matrix evaluates classification.","A confusion matrix is used to:","Evaluate classification performance","Increase internet speed|Store cloud data|Manage hardware"
"SaaS provides software over the internet.","What does SaaS provide?","Software over the internet","Servers only|Databases only|Local apps only"
"PaaS provides platform tools for development.","What does PaaS provide?","A platform for development","Only hardware|Only email|Only storage"
"IaaS provides infrastructure like servers.","What does IaaS provide?","Infrastructure like servers","Only software|Only UI design|Only browsing"
"Data security is a key risk in cloud computing.","Which is a key risk in cloud computing?","Data security concerns","Unlimited storage|Automatic scaling|Faster CPU"
"Encryption helps protect stored or transmitted data.","Encryption is used to:","Secure data","Increase bias|Remove passwords|Slow networks"
"viewBox defines the coordinate system in SVG.","What does viewBox define in SVG?","Coordinate system","Font style|File path|Border color"
"preserveAspectRatio controls scaling alignment.","What does preserveAspectRatio control?","How SVG scales and aligns","Circle size only|Text color only|Animation speed"
"rect draws a rectangle.","Which SVG element draws a rectangle?","rect","circle|path|line"
"circle draws a circle.","Which SVG element draws a circle?","circle","rect|text|polygon"
"text-anchor='middle' centers text.","What does text-anchor='middle' do?","Centers the text","Makes text italic|Underlines text|Rotates text"
"Use background-image:url(...) for images.","Which CSS property sets a background image?","background-image","background-color|color|border-image"
"background-size: cover fills the box.","What does background-size: cover do?","Fills the box by cropping if needed","Repeats the image|Shrinks image to fit|Removes image"
"position: relative moves element from normal position.","position: relative moves an element:","From its normal position","To top of page always|Outside screen|Behind all elements"
"relative keeps original space reserved.","Relative positioning keeps:","Original space reserved","No space reserved|Always full width|Always centered"
"position: absolute removes element from normal flow.","Absolute positioning:","Removes element from normal flow","Keeps element in flow|Forces inline|Disables top/left"
"absolute positions relative to nearest positioned ancestor.","Absolute positioning is relative to:","Nearest positioned ancestor","The mouse pointer|The text size|The screen brightness"
"Git commit saves a snapshot.","What does git commit do?","Saves a snapshot","Deletes a branch|Uploads automatically|Renames files"
"Git branch isolates changes.","What does a git branch allow?","Work on changes separately","Only view history|Only compile code|Only edit readme"
"Two-factor authentication adds another security layer.","What does 2FA add?","A second verification step","A longer username|A public password|A weaker login"
"Phishing tries to trick users.","Phishing is:","Tricking users to reveal information","Encrypting files|Backing up data|Fixing bugs"
"Primary key uniquely identifies a row.","A primary key:","Uniquely identifies a row","Duplicates rows|Stores images|Formats text"
"Foreign key links tables.","A foreign key is used to:","Link tables","Compress files|Create CSS|Run loops"
"Normalization reduces redundancy.","Normalization in databases aims to:","Reduce redundancy","Increase duplication|Slow queries|Remove keys"
"Index speeds up searching.","A database index helps to:","Speed up searching","Increase file size|Remove columns|Disable queries"