text,summary,key_points
"CSS display modes: inline stays in the line but ignores width and height. block takes full width and starts on a new line. inline-block stays on the same line but allows width and height. We used inline-block for navigation links.","We learned how CSS display modes change layout and when to use each.","- inline ignores width/height\n- block starts new line and uses full width\n- inline-block stays inline with sizing\n- good for nav links"
"Notes: In HTML forms, label should use for='' matching the input id. input type email validates emails. aria-describedby links hint text to input. required makes a field mandatory. placeholder is only a hint, not a label.","We reviewed correct HTML form structure and accessibility basics.","- label for matches input id\n- type=email validates format\n- aria-describedby connects hint text\n- required forces user input\n- placeholder is not a label"
"Java loops: for loop has init, condition, update. break exits the loop. continue skips current iteration. while repeats while condition is true. If condition never becomes false, it becomes an infinite loop.","We learned how Java loops work and how to control them.","- for: init/condition/update\n- while runs until condition false\n- break exits loop\n- continue skips iteration\n- infinite loops happen if condition never changes"
"Arrays in Java: index starts at 0. array[0] is first element. To reverse an array, swap array[i] with array[length-1-i] until halfway. array.length gives size.","We practiced Java array indexing and reversing logic.","- arrays are 0-indexed\n- first element is array[0]\n- reverse using swapping with length-1-i\n- loop until length/2"
"Machine learning: supervised learning uses labeled data. Classification predicts categories. Regression predicts continuous values. Unsupervised learning finds patterns like clustering. Accuracy is percent correct predictions.","We summarized key ML learning types and prediction tasks.","- supervised uses labels\n- classification outputs classes\n- regression outputs numbers\n- unsupervised finds patterns\n- accuracy measures correctness"
"Cloud computing: SaaS provides software online, PaaS provides platform tools, IaaS provides infrastructure. A key risk is data security. Encryption helps protect data.","We covered cloud service models and a major security concern.","- SaaS/PaaS/IaaS differences\n- data security is a key risk\n- encryption protects data"
"SVG basics: viewBox sets the coordinate system. preserveAspectRatio controls scaling alignment. rect draws a rectangle. circle draws a circle. text draws text; text-anchor=middle centers it.","We learned common SVG attributes and shapes.","- viewBox defines coordinates\n- preserveAspectRatio controls scaling\n- rect/circle/text elements\n- text-anchor centers text"
"CSS background images: use background-image:url('file.jpg') not background-color. background-size:cover fills the box. If image not showing, check file path and file name.","We fixed common mistakes with CSS background images.","- use background-image not background-color\n- background-size: cover\n- verify file path/name\n- ensure file exists"
"CSS positioning: relative moves element from its normal position using top/left. absolute positions element relative to nearest positioned ancestor. If none, it uses the page.","We clarified relative vs absolute positioning in CSS.","- relative keeps original space\n- top/left offset from normal position\n- absolute removed from normal flow\n- absolute uses nearest positioned parent"
"Navigation menu: make li display:inline-block to keep links on one line. remove list-style and padding from ul. Add hover to change background color on mouseover.","We built a horizontal navigation menu with CSS.","- ul remove bullets and padding\n- li inline-block for horizontal layout\n- a styled as buttons\n- hover adds interaction"
"Accessibility: aria-hidden='true' hides decorative symbols from screen readers. Use it for asterisk required markers. Provide clear labels for inputs.","We learned why aria-hidden is used for accessibility.","- aria-hidden hides decorative text\n- useful for required asterisks\n- labels must be clear"
"Java operators: % gives remainder. / between integers does integer division. == compares equality. A boolean prints true or false.","We reviewed basic Java operators and outputs.","- % remainder\n- integer division truncates\n- == equality check\n- booleans print true/false"
"Selection sort: find minimum element in unsorted part, swap it to the start, repeat for each position. Time complexity is O(n^2).","We summarized how selection sort works.","- find min each pass\n- swap into correct position\n- repeat through array\n- O(n^2) time"
"AI governance: policies and frameworks to guide safe AI development. Transparency means decisions are understandable. Auditing checks fairness and compliance.","We defined AI governance and key ethical principles.","- governance = policies\n- transparency = explainable decisions\n- auditing checks fairness\n- focus on safe use"
"Study plan: focus on weak topics first based on quiz scores. Review low-score topics more frequently. Use spaced repetition by revisiting after 1 day, 3 days, 7 days.","We planned a learning schedule using quiz performance.","- weak topics prioritized\n- spaced repetition intervals\n- track score per topic\n- review more often if low score"
"Meeting notes: finalize UI by Wednesday. Add summarize and importance endpoints. Store quiz results by topic. If topic score < 60%, schedule it for next session.","We assigned tasks and created rules for topic scheduling.","- UI deadline Wednesday\n- add endpoints\n- store results per topic\n- <60% triggers priority"
"API design: POST /summarize takes notes text and returns summary and bullets. POST /importance returns sentence labels. POST /generate-questions returns MCQs from important sentences.","We outlined endpoints for summarization, importance, and quiz generation.","- /summarize returns summary+bullets\n- /importance returns labels\n- /generate-questions returns MCQs\n- use POST with JSON"
"Data collection: collect user notes and manually write summaries. Keep style consistent. Remove personal info. Validate that text and summary are non-empty.","We planned how to collect training data safely and consistently.","- manual summaries needed\n- consistent format\n- anonymize notes\n- ensure non-empty rows"
"Model training: start with flan-t5-small. Use LoRA to reduce training cost. Save adapter and tokenizer. Use enough training rows to split train/test.","We set up a small LoRA training workflow for summarization.","- flan-t5-small baseline\n- LoRA fine-tuning\n- save adapter+tokenizer\n- need more rows for split"
"Quiz generation: convert important facts into MCQs. Use one correct answer and three distractors. Keep questions short and clear.","We defined rules to generate good MCQs from notes.","- derive from important facts\n- 1 correct + 3 distractors\n- short clear wording\n- avoid ambiguity"
"Operating systems: a process is a running program. Threads share memory within a process. Scheduling decides which process runs next.","We learned basic OS terms and scheduling idea.","- process = running program\n- threads share memory\n- scheduler chooses execution order"
"Networking: IP identifies devices. DNS converts domain names to IP addresses. HTTP is application protocol; TCP provides reliable transport.","We summarized key networking concepts and protocols.","- IP addressing\n- DNS name resolution\n- HTTP application layer\n- TCP reliable transport"
"Databases: primary key uniquely identifies a row. Foreign key links tables. Normalization reduces redundancy. Index speeds up searching.","We reviewed database keys and normalization basics.","- primary key unique\n- foreign key creates relation\n- normalization reduces duplication\n- index improves speed"
"Python basics: functions are defined with def. indentation matters. lists are mutable. tuples are immutable. dictionaries map keys to values.","We summarized basic Python syntax and data structures.","- def creates functions\n- indentation defines blocks\n- list mutable\n- tuple immutable\n- dict key-value"
"Cybersecurity: strong passwords use length and variety. Phishing tricks users into revealing info. Two-factor authentication adds another layer of security.","We listed common security practices and threats.","- strong passwords\n- phishing awareness\n- 2FA improves security"
"Statistics: mean is average. median is middle value. variance measures spread. correlation shows relationship but not causation.","We reviewed basic statistics terms.","- mean average\n- median middle\n- variance spread\n- correlation != causation"
"Project notes: user uploads notes, system summarizes, labels importance, generates quizzes, stores topic scores, and schedules weak topics first.","We described the full workflow of the study assistant app.","- upload notes\n- summarize\n- importance labeling\n- generate quiz\n- store scores\n- schedule weak topics"
"Revision tips: use active recall with quizzes. break topics into small chunks. Review mistakes. Improve weak areas using results tracking.","We planned an effective study method using quizzes and tracking.","- active recall\n- small chunks\n- review mistakes\n- track weak topics"
"Git basics: commit saves snapshot. branch isolates changes. merge combines branches. push uploads to remote. pull gets latest changes.","We summarized core Git actions for version control.","- commit snapshot\n- branch for features\n- merge combine\n- push/pull remote sync"